epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8626.04,0.70184,0.62025,1.13635,0.89774,0.84955,0.90748,0.69769,0.851,0.73921,1.2139,0.0011882,0.0011882,0.0011882
43,8829.25,0.71977,0.64207,1.16821,0.90058,0.85663,0.89981,0.69626,0.82692,0.68327,1.21715,0.0011684,0.0011684,0.0011684
44,9032.56,0.68448,0.60108,1.13192,0.8507,0.86738,0.90992,0.67607,0.87869,0.7269,1.2457,0.0011486,0.0011486,0.0011486
45,9235.95,0.7194,0.63207,1.15141,0.90674,0.79928,0.87546,0.64591,0.8959,0.78692,1.28216,0.0011288,0.0011288,0.0011288
46,9439.21,0.69067,0.62157,1.1419,0.91723,0.83413,0.89974,0.68974,0.89592,0.70842,1.26276,0.001109,0.001109,0.001109
47,9668.31,0.69601,0.59137,1.14036,0.92586,0.85039,0.91516,0.70617,0.83861,0.66354,1.21728,0.0010892,0.0010892,0.0010892
48,9889.79,0.69095,0.58728,1.14484,0.88766,0.87796,0.91257,0.71359,0.80622,0.70219,1.19516,0.0010694,0.0010694,0.0010694
49,10107.3,0.69444,0.63235,1.1367,0.90069,0.8853,0.91851,0.71807,0.79801,0.66823,1.16445,0.0010496,0.0010496,0.0010496
50,10327.7,0.68949,0.60459,1.12285,0.93426,0.84588,0.92019,0.72352,0.80574,0.66752,1.18047,0.0010298,0.0010298,0.0010298
51,10548,0.648,0.57074,1.12565,0.93619,0.83154,0.91857,0.70998,0.79154,0.6721,1.17798,0.00101,0.00101,0.00101
52,10764.2,0.63958,0.57883,1.10658,0.91766,0.83882,0.90434,0.715,0.77389,0.72051,1.13366,0.0009902,0.0009902,0.0009902
53,10977.8,0.62693,0.54857,1.10329,0.92096,0.83521,0.91391,0.72937,0.78372,0.63736,1.17371,0.0009704,0.0009704,0.0009704
54,11190.1,0.62778,0.54354,1.09207,0.89926,0.89606,0.93204,0.74869,0.74569,0.61973,1.13416,0.0009506,0.0009506,0.0009506
55,11402.6,0.64118,0.5433,1.11006,0.95272,0.86664,0.93211,0.73177,0.79294,0.62807,1.17817,0.0009308,0.0009308,0.0009308
56,11613.5,0.63822,0.54287,1.10699,0.90786,0.86738,0.90623,0.73392,0.73103,0.6538,1.11637,0.000911,0.000911,0.000911
57,11826.7,0.63343,0.5323,1.10805,0.95434,0.84229,0.91356,0.70622,0.78417,0.67237,1.17835,0.0008912,0.0008912,0.0008912
58,12049.2,0.6464,0.55526,1.10911,0.91464,0.86738,0.91249,0.71781,0.76481,0.68077,1.14901,0.0008714,0.0008714,0.0008714
59,12270.7,0.61854,0.52798,1.10192,0.93656,0.87814,0.92344,0.72056,0.76912,0.66841,1.16934,0.0008516,0.0008516,0.0008516
60,12496.2,0.62138,0.53812,1.09394,0.91923,0.87097,0.92228,0.72659,0.79181,0.64563,1.17601,0.0008318,0.0008318,0.0008318
61,12710.3,0.60841,0.52972,1.0957,0.92639,0.90323,0.94378,0.73446,0.8048,0.61853,1.19744,0.000812,0.000812,0.000812
62,12923,0.6438,0.53503,1.10779,0.93833,0.8725,0.92185,0.75454,0.75216,0.61397,1.13176,0.0007922,0.0007922,0.0007922
63,13134.6,0.63544,0.53114,1.10846,0.9304,0.89247,0.91481,0.72488,0.77229,0.63836,1.14127,0.0007724,0.0007724,0.0007724
64,13355.8,0.59363,0.51689,1.08947,0.89742,0.90932,0.92766,0.74626,0.73882,0.61835,1.1259,0.0007526,0.0007526,0.0007526
65,13574.5,0.61909,0.51052,1.09852,0.94091,0.87814,0.92419,0.74834,0.74224,0.57136,1.12998,0.0007328,0.0007328,0.0007328
66,13793.7,0.61537,0.49798,1.09159,0.95018,0.88871,0.91637,0.72869,0.76035,0.60321,1.1574,0.000713,0.000713,0.000713
67,14014.1,0.60823,0.51501,1.08982,0.91864,0.89035,0.92525,0.73302,0.74131,0.59713,1.13186,0.0006932,0.0006932,0.0006932
68,14239.2,0.61535,0.52471,1.08215,0.91676,0.86849,0.92978,0.7363,0.78908,0.67945,1.16348,0.0006734,0.0006734,0.0006734
69,14460.4,0.57295,0.48157,1.06659,0.93879,0.87959,0.92249,0.7371,0.76603,0.60918,1.15758,0.0006536,0.0006536,0.0006536
