epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,17116.3,0.51432,0.41406,1.0585,0.97417,0.98148,0.99149,0.83911,0.62425,0.40527,0.97765,0.000713,0.000713,0.000713
67,17339.7,0.51158,0.41233,1.05424,0.95396,0.95938,0.98361,0.80061,0.67299,0.4603,1.05524,0.0006932,0.0006932,0.0006932
68,17563.2,0.52679,0.42275,1.07953,0.95035,0.94444,0.97483,0.81117,0.6475,0.46784,1.03011,0.0006734,0.0006734,0.0006734
69,17787,0.50652,0.40612,1.04676,0.95813,0.97222,0.98756,0.84466,0.62553,0.43563,0.98579,0.0006536,0.0006536,0.0006536
70,18011.7,0.50671,0.40423,1.04018,0.97228,0.97424,0.99031,0.83238,0.64524,0.40896,0.99988,0.0006338,0.0006338,0.0006338
71,18235.5,0.49424,0.39991,1.05226,0.96319,0.96906,0.99283,0.82821,0.63885,0.38918,0.9871,0.000614,0.000614,0.000614
72,18459.2,0.48581,0.39269,1.03445,0.95459,0.97317,0.98264,0.82652,0.60655,0.384,0.96871,0.0005942,0.0005942,0.0005942
73,18682.7,0.49264,0.40691,1.03739,0.99065,0.98084,0.99435,0.85043,0.60682,0.38546,0.95453,0.0005744,0.0005744,0.0005744
74,18905.9,0.47484,0.39145,1.04148,0.95154,0.98148,0.99083,0.83637,0.60147,0.39436,0.96652,0.0005546,0.0005546,0.0005546
75,19129.1,0.46838,0.37996,1.02762,0.97909,0.98148,0.99246,0.83972,0.58632,0.38705,0.95396,0.0005348,0.0005348,0.0005348
76,19352.7,0.45937,0.38588,1.02954,0.96254,0.98148,0.97973,0.84081,0.59253,0.37034,0.94398,0.000515,0.000515,0.000515
77,19576,0.44746,0.37087,1.01899,0.97998,0.98148,0.98241,0.84719,0.59186,0.37806,0.93918,0.0004952,0.0004952,0.0004952
78,19799.7,0.45034,0.37207,1.03056,0.97964,0.98148,0.98368,0.83265,0.60814,0.38616,0.96107,0.0004754,0.0004754,0.0004754
79,20024,0.46543,0.37855,1.024,0.98438,0.96296,0.99109,0.84267,0.58759,0.37454,0.95897,0.0004556,0.0004556,0.0004556
80,20247.5,0.43096,0.3418,1.01393,0.97238,0.97808,0.98932,0.8323,0.61199,0.39569,0.96039,0.0004358,0.0004358,0.0004358
81,20471.3,0.46014,0.37736,1.02226,0.98031,0.99074,0.99041,0.8493,0.58349,0.39206,0.93873,0.000416,0.000416,0.000416
82,20695.2,0.43828,0.36402,1.02015,0.97118,0.98148,0.98062,0.84604,0.55354,0.4059,0.90884,0.0003962,0.0003962,0.0003962
83,20918.6,0.41112,0.3442,1.00865,0.9792,0.99074,0.99183,0.85063,0.5602,0.35244,0.91463,0.0003764,0.0003764,0.0003764
84,21142.6,0.4426,0.36279,1.01897,0.96353,0.97842,0.98094,0.86101,0.54881,0.37626,0.91651,0.0003566,0.0003566,0.0003566
85,21365.8,0.41973,0.34913,1.00591,0.94113,0.97222,0.9757,0.85839,0.54924,0.39613,0.90614,0.0003368,0.0003368,0.0003368
86,21590.1,0.4095,0.33926,0.99812,0.9633,0.97216,0.98245,0.86078,0.56181,0.37462,0.92813,0.000317,0.000317,0.000317
87,21813.9,0.42921,0.34646,1.01108,0.97146,0.99074,0.99277,0.8611,0.53702,0.33817,0.91226,0.0002972,0.0002972,0.0002972
88,22037.4,0.40074,0.34181,0.9933,0.96875,0.99074,0.99427,0.86694,0.53649,0.3473,0.90152,0.0002774,0.0002774,0.0002774
89,22260.4,0.41784,0.34814,1.00145,0.97965,0.98148,0.98444,0.86216,0.54882,0.34871,0.9224,0.0002576,0.0002576,0.0002576
90,22483.5,0.41203,0.33968,0.99945,0.97692,0.98148,0.98368,0.8596,0.52407,0.34592,0.9089,0.0002378,0.0002378,0.0002378
91,22703.9,0.37827,0.3251,1.0087,0.95409,0.97222,0.98158,0.86421,0.53122,0.37404,0.90699,0.000218,0.000218,0.000218
92,22924.5,0.34546,0.2693,0.9848,0.98998,0.98148,0.98491,0.86589,0.54292,0.35899,0.90735,0.0001982,0.0001982,0.0001982
93,23145.3,0.32894,0.25077,0.96698,0.98945,0.98148,0.99246,0.87269,0.50788,0.32494,0.89048,0.0001784,0.0001784,0.0001784
94,23366.2,0.33312,0.25435,0.99344,0.98957,0.98148,0.98491,0.88293,0.50599,0.32717,0.89016,0.0001586,0.0001586,0.0001586
95,23586.3,0.31642,0.24092,0.95891,0.99061,0.98148,0.99052,0.88058,0.49094,0.32292,0.87854,0.0001388,0.0001388,0.0001388
96,23806.9,0.31442,0.23998,0.97391,0.99423,0.98148,0.985,0.88509,0.47104,0.32037,0.86078,0.000119,0.000119,0.000119
97,24027.6,0.3162,0.24825,0.97132,0.99074,0.99025,0.99491,0.88833,0.47645,0.32099,0.8597,9.92e-05,9.92e-05,9.92e-05
98,24248.7,0.29297,0.22555,0.96003,0.98129,0.99074,0.99472,0.89419,0.48254,0.31987,0.86042,7.94e-05,7.94e-05,7.94e-05
99,24471.5,0.29426,0.23306,0.95802,0.99436,0.98148,0.99482,0.88884,0.4713,0.30859,0.85545,5.96e-05,5.96e-05,5.96e-05
100,24692,0.30157,0.22801,0.96605,0.99442,0.98148,0.98959,0.88478,0.47028,0.30648,0.85614,3.98e-05,3.98e-05,3.98e-05
